|  A   |  B   |  C   | DigitA  | DigitB  | DigitC  |
| 0000 | 0001 | 0000 | 1011111 | 1000001 | 1011111 |
| 0001 | 0010 | 0001 | 1000001 | 1101110 | 1000001 |
| 0010 | 0011 | 0010 | 1101110 | 1101101 | 1101110 |
| 0011 | 0100 | 0011 | 1101101 | 1110001 | 1101101 |
| 0100 | 0101 | 0100 | 1110001 | 0111101 | 1110001 |
| 0101 | 0110 | 0100 | 0111101 | 0111111 | 1110001 |
| 0110 | 0111 | 0000 | 0111111 | 1000101 | 1011111 |
| 0111 | 1000 | 0000 | 1000101 | 1111111 | 1011111 |
| 1000 | 1001 | 0000 | 1111111 | 1111101 | 1011111 |
| 1001 | 1010 | 0000 | 1111101 | 1110111 | 1011111 |
| 1010 | 1011 | 0000 | 1110111 | 0111011 | 1011111 |
| 1011 | 1100 | 0000 | 0111011 | 0011110 | 1011111 |
| 1100 | 1101 | 0000 | 0011110 | 1101011 | 1011111 |
| 1101 | 1110 | 0000 | 1101011 | 0111110 | 1011111 |
| 1110 | 1111 | 0000 | 0111110 | 0110110 | 1011111 |
| 1111 | 0000 | 0000 | 0110110 | 1011111 | 1011111 |
